店舗,機種名,総導入台数,稼働日数,平均差枚数,勝率,集計数
キング観光新瑞,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,4,191,-70.46822742474916,0.3177257525083612,299
マルシン777,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,8,238,-71.95798319327731,0.3718487394957983,952
キング観光サウザンド桑名本店,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,16,214,-72.17706576728499,0.3161888701517706,1186
ラッキー1番江南,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,3,240,-72.87645348837209,0.3023255813953488,688
KYORAKU東海,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,6,239,-74.24425887265136,0.3820459290187891,479
ZENT稲沢,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,6,241,-76.2461430575035,0.3625525946704067,1426
オーギヤ江南,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,5,232,-77.73343848580441,0.3580441640378549,634
ZENT岡崎インター,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,12,239,-79.7968503937008,0.3228346456692913,1270
KEIZ港,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,5,198,-81.07223476297969,0.3408577878103837,886
ZENT住吉,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,5,211,-81.13183279742765,0.3553054662379421,622
コンコルド愛西日比野駅前,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,6,239,-82.63169642857143,0.3839285714285714,448
プレイランドキャッスル知多東海,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,5,169,-83.89390519187359,0.3792325056433409,443
コンコルド一宮尾西インター,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,2,223,-85.36111111111111,0.3333333333333333,432
キング観光熊野,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,10,238,-87.38205128205128,0.3102564102564102,390
G&L一宮,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,3,238,-89.58703071672355,0.3378839590443686,293
プレイランドキャッスル記念橋南,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,6,245,-90.3662109375,0.349609375,1024
メガコンコルドみなと木場インター,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,8,229,-91.3012048192771,0.3333333333333333,498
ZENT豊橋藤沢店,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,4,205,-91.48015364916772,0.3457106274007682,781
ラッキープラザ可児,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,5,236,-91.83923705722071,0.3692098092643052,734
プレイランド第一平和,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,3,240,-92.36513157894736,0.3157894736842105,608
ZENT可児,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,15,239,-94.0802407221665,0.3520561685055166,997
ZENT扶桑,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,8,241,-94.49325842696628,0.3292134831460674,890
キング観光サウザンド桑名サンシパーク,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,6,208,-99.89178356713428,0.3336673346693387,998
ZENT各務原,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,4,235,-101.437641723356,0.3412698412698413,882
キング666半田,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,2,200,-106.78962536023054,0.2939481268011527,347
コスモジャパン西尾,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,8,237,-110.77163120567376,0.3148936170212766,705
MGM四日市,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,8,240,-111.56796116504854,0.3333333333333333,618
キング観光サウザンド津,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,11,219,-111.65232722143864,0.3321579689703808,1418
キクヤ春日井,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,10,131,-112.06333739342266,0.3422655298416565,821
ZENT梅坪,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,9,213,-112.28068181818182,0.3488636363636364,880
キング666東海,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,5,194,-114.85113835376532,0.3450087565674256,571
メガコンコルド名古屋みなと23号通り,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,13,164,-116.3480825958702,0.3215339233038348,678
メガガイア一宮,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,11,240,-119.51092896174865,0.3469945355191257,1098
キング観光サウザンド近鉄四日市,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,26,236,-122.14411764705882,0.3176470588235294,1020
プレイランドキャッスル尾頭橋,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,7,224,-123.82587064676616,0.3399668325041459,603
グランドオータ鳴海,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,7,238,-123.9789156626506,0.3182730923694779,996
キクヤ本店,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,4,101,-126.23529411764706,0.3574660633484163,221
プレイランドキャッスル大曽根,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,22,236,-127.98806682577566,0.3054892601431981,838
プレイランドキャッスル知多にしの台,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,12,166,-128.51104100946372,0.3485804416403785,634
オーギヤ安城,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,2,225,-129.1822222222222,0.3933333333333333,450
M&K本店,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,14,238,-132.26404494382024,0.3497191011235955,712
キング666飛騨高山,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,8,231,-132.95809248554914,0.3208092485549133,692
メガスロットコンコルド吉浜,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,4,175,-133.0228571428571,0.3571428571428571,350
A-FLAG瀬戸,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,2,238,-135.3109243697479,0.3277310924369748,238
ZENT市ノ坪,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,7,167,-135.4436906377205,0.355495251017639,737
ABC豊川,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,11,230,-138.76063829787233,0.3386524822695035,564
メガコンコルド岡崎北,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,6,232,-139.95292207792207,0.3149350649350649,616
コンコルド岐阜羽島駅前,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,6,204,-142.14285714285714,0.3246753246753247,385
ラッキープラザ津島,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,4,237,-144.83333333333334,0.3312236286919831,474
メガコンコルド大口41号通り,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,16,234,-145.94230769230768,0.3016194331983806,988
プレイランドキャッスル知多,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,4,141,-146.46808510638297,0.4042553191489361,141
キング666一宮,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,4,239,-146.82397959183675,0.3265306122448979,392
サンシャインKYORAKU平針,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,5,231,-148.3625,0.3267857142857143,560
メガコンコルド豊田インター,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,9,131,-151.49045801526717,0.3606870229007634,524
プレイランドキャッスル上社,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,9,239,-152.08152173913044,0.3731884057971014,552
メガコンコルド岡崎インター,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,13,231,-155.00179533213645,0.3123877917414722,1114
M&K道光寺,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,9,238,-155.91628614916286,0.3287671232876712,657
コスモジャパン大府,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,12,168,-157.98611111111111,0.3611111111111111,504
コスモジャパン蒲郡,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,7,231,-165.34548611111111,0.3142361111111111,576
メガコンコルド大垣インター南,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,7,227,-166.53303964757708,0.3017621145374449,454
キング観光サウザンド鈴鹿,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,20,231,-172.01006289308177,0.3018867924528302,795
キャッスル大金,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,3,234,-172.33159268929504,0.3629242819843342,383
メガコンコルド刈谷知立,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,11,200,-176.21097046413502,0.2964135021097046,948
大丸桜山,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,1,28,-176.21428571428572,0.2857142857142857,28
ラッキープラザ名古屋西インター七宝,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,10,234,-177.95862068965516,0.3062068965517241,725
メガコンコルド稲沢,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,8,184,-181.01686746987951,0.3072289156626506,830
KEIZ中川運河,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,16,239,-184.2596944770858,0.3384253819036428,851
リブレ遊援館,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,4,243,-190.47942386831275,0.3497942386831276,486
メガコンコルドBLAZE,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,5,176,-193.94021101992965,0.2930832356389214,853
メガコンコルド春日井,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,8,171,-194.5545590433483,0.3034379671150972,669
メガコンコルド西尾,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,3,243,-206.47325102880657,0.279835390946502,243
メガコンコルド豊川インター,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,15,162,-231.1283950617284,0.3037037037037037,810
ラッキープラザ弥富,LBパチスロ ヱヴァンゲリヲン 〜約束の扉〜,4,239,-335.4309623430962,0.3054393305439331,239
キャッスル大金,LBパチスロ1000ちゃんA,3,138,87.56834532374101,0.3237410071942446,139
キング観光サウザンド今池2号,LBパチスロ1000ちゃんA,2,42,48.57142857142857,0.3095238095238095,42
グランドオータ鳴海,LBパチスロ1000ちゃんA,2,84,29.154761904761905,0.4166666666666667,84
プレイランドキャッスル記念橋南,LBパチスロ1000ちゃんA,2,97,1.5257731958762886,0.3402061855670103,97
オータ岡崎,LBパチスロ1000ちゃんA,2,145,-42.296551724137935,0.1586206896551724,145
キング観光新瑞,LBパチスロ1000ちゃんA,1,13,-66.6923076923077,0.2307692307692307,13
プレイランドキャッスル尾頭橋,LBパチスロ1000ちゃんA,1,7,-126.42857142857144,0.2857142857142857,7
キング観光サウザンド桑名サンシパーク,LBパチスロ1000ちゃんA,1,58,-353.98275862068965,0.2241379310344827,58
キング観光いなべ,LBプレミアムうまい棒,1,66,5.196969696969697,0.4242424242424242,66
マルシン777,LBプレミアムうまい棒,1,187,-26.112299465240643,0.4117647058823529,187
キング観光名張,LBプレミアムうまい棒,1,33,-30.484848484848484,0.3333333333333333,33
キング観光サウザンド鈴鹿,LBプレミアムうまい棒,4,90,-44.93333333333333,0.3888888888888889,90
プレイランドキャッスル春日井,LBプレミアムうまい棒,2,16,-57.84375,0.4375,32
キング666一宮,LBプレミアムうまい棒,4,111,-79.63963963963964,0.3693693693693693,111
ZENT名古屋北,LBプレミアムうまい棒,4,147,-87.65674603174604,0.3630952380952381,504
ZENT各務原,LBプレミアムうまい棒,2,208,-92.9278846153846,0.3846153846153846,208
グランドオータ鳴海,LBプレミアムうまい棒,1,124,-100.85483870967742,0.3306451612903225,124
キング観光鈴鹿インター,LBプレミアムうまい棒,1,65,-108.0,0.2153846153846154,65
ZENT豊橋藤沢店,LBプレミアムうまい棒,4,234,-113.06526806526809,0.3426573426573426,429
キング観光サウザンド近鉄四日市,LBプレミアムうまい棒,4,131,-127.87022900763358,0.3511450381679389,131
キング観光尾鷲,LBプレミアムうまい棒,2,45,-135.57777777777778,0.2444444444444444,45
ZENT555,LBプレミアムうまい棒,2,197,-139.51269035532994,0.3350253807106599,197
キクヤ穂積,LBプレミアムうまい棒,1,95,-145.62105263157895,0.3894736842105263,95
M&K岡崎,LBプレミアムうまい棒,1,192,-154.421875,0.2760416666666667,192
リブレ遊援館,LBプレミアムうまい棒,1,98,-167.6326530612245,0.336734693877551,98
キング観光サウザンド生桑,LBプレミアムうまい棒,4,112,-169.22321428571428,0.2589285714285714,112
キング観光サウザンド栄東新町,LBプレミアムうまい棒,2,92,-170.264,0.256,125
キング観光熊野,LBプレミアムうまい棒,2,32,-185.03125,0.21875,32
キクヤ春日井,LBプレミアムうまい棒,1,61,-308.72131147540983,0.3114754098360656,61
ZENT岡崎インター,LBプレミアムうまい棒,1,60,-319.81666666666666,0.2666666666666666,60
パーラーワールド小牧,Lうしおととら白面決戦VH,1,42,468.5238095238095,0.4761904761904761,42
がちゃぽん南,Lうしおととら白面決戦VH,1,52,382.13461538461536,0.3653846153846153,52
キング観光サウザンド津,Lうしおととら白面決戦VH,1,14,376.1428571428572,0.3571428571428571,14
グランドオータ鳴海,Lうしおととら白面決戦VH,2,55,360.2,0.3818181818181818,110
キクヤ長良,Lうしおととら白面決戦VH,3,87,344.2413793103448,0.3793103448275862,87
オーギヤタウン半田,Lうしおととら白面決戦VH,5,102,221.59420289855072,0.3623188405797101,138
KEIZ中川運河,Lうしおととら白面決戦VH,8,55,197.7409090909091,0.3772727272727272,220
キング666東海,Lうしおととら白面決戦VH,1,56,197.53571428571428,0.3392857142857143,56
ZENT555,Lうしおととら白面決戦VH,6,55,164.0848484848485,0.2848484848484848,330
コンコルド岐阜羽島駅前,Lうしおととら白面決戦VH,6,40,157.8359375,0.3984375,128
ラッキー1番江南,Lうしおととら白面決戦VH,9,104,157.20701754385965,0.2105263157894736,285
ラッキー1番日進竹の山,Lうしおととら白面決戦VH,4,56,156.76767676767676,0.3383838383838384,198
メガコンコルド岡崎インター,Lうしおととら白面決戦VH,19,28,131.4404761904762,0.3869047619047619,336
コンコルド一宮尾西インター,Lうしおととら白面決戦VH,11,54,106.1206896551724,0.4022988505747126,174
プレイランドキャッスル熱田,Lうしおととら白面決戦VH,34,42,104.8044776119403,0.3432835820895522,670
メガコンコルド豊田インター,Lうしおととら白面決戦VH,13,54,104.29139072847684,0.3741721854304636,302
プレイランドキャッスル知多東海,Lうしおととら白面決戦VH,2,11,101.4090909090909,0.4090909090909091,22
ZENT可児,Lうしおととら白面決戦VH,4,114,96.8984771573604,0.3299492385786802,197
メガコンコルド岡崎北,Lうしおととら白面決戦VH,13,53,93.30833333333334,0.3541666666666667,240
コスモジャパン西尾,Lうしおととら白面決戦VH,12,54,90.10648148148148,0.324074074074074,216
キング観光サウザンド栄若宮大通,Lうしおととら白面決戦VH,11,31,86.920245398773,0.3312883435582822,163
A-FLAG津,Lうしおととら白面決戦VH,5,100,75.53237410071942,0.1870503597122302,139
ZENT名古屋北,Lうしおととら白面決戦VH,12,44,74.75757575757575,0.3049242424242424,528
サンパレス,Lうしおととら白面決戦VH,8,275,73.12182741116752,0.2614213197969543,394
キング観光サウザンド栄東新町,Lうしおととら白面決戦VH,3,84,63.642857142857146,0.3214285714285714,84
コスモジャパン三谷,Lうしおととら白面決戦VH,4,93,47.16556291390729,0.1854304635761589,302
ZENT豊橋藤沢店,Lうしおととら白面決戦VH,4,112,42.401785714285715,0.2857142857142857,224
キング観光鈴鹿インター,Lうしおととら白面決戦VH,6,107,28.200934579439252,0.2476635514018691,214
ラッキープラザ津島,Lうしおととら白面決戦VH,6,138,28.047101449275363,0.1739130434782608,276
MGM四日市,Lうしおととら白面決戦VH,6,53,27.81132075471698,0.1886792452830188,159
キング観光熊野,Lうしおととら白面決戦VH,10,89,27.35632183908046,0.1839080459770115,174
キング観光サウザンド松阪,Lうしおととら白面決戦VH,7,120,26.796296296296298,0.1543209876543209,162
KEIZ港,Lうしおととら白面決戦VH,8,87,22.120253164556964,0.2848101265822785,316
コンコルド愛西日比野駅前,Lうしおととら白面決戦VH,6,116,17.321138211382113,0.2764227642276423,246
ZENT稲沢,Lうしおととら白面決戦VH,8,119,16.964406779661015,0.2457627118644068,590
キング観光サウザンド生桑,Lうしおととら白面決戦VH,14,42,2.793269230769231,0.3365384615384615,208
メガコンコルドみなと木場インター,Lうしおととら白面決戦VH,6,193,1.3540856031128403,0.2217898832684824,257
マルシン777,Lうしおととら白面決戦VH,7,90,-0.0033333333333333,0.32,300
メガスロットコンコルド吉浜,Lうしおととら白面決戦VH,12,84,-12.317365269461078,0.2934131736526946,167
ZENT豊田本店,Lうしおととら白面決戦VH,8,119,-13.053221288515406,0.2829131652661064,357
オーギヤ安城,Lうしおととら白面決戦VH,6,114,-14.44267515923567,0.2484076433121019,314
メガコンコルド豊川インター,Lうしおととら白面決戦VH,18,28,-16.607142857142858,0.4007936507936508,252
リブレ遊援館,Lうしおととら白面決戦VH,7,106,-17.56040268456376,0.3523489932885906,298
オータ岡崎,Lうしおととら白面決戦VH,2,109,-18.504587155963304,0.2201834862385321,109
ZENT木曽川,Lうしおととら白面決戦VH,5,119,-21.19148936170213,0.2796352583586626,329
ラッキープラザ可児,Lうしおととら白面決戦VH,4,63,-25.48684210526316,0.2368421052631578,76
プレイランドキャッスル東郷,Lうしおととら白面決戦VH,11,69,-28.35164835164835,0.3406593406593406,182
コスモジャパン大府,Lうしおととら白面決戦VH,9,70,-30.764705882352946,0.3109243697478991,238
パチンコ立岩,Lうしおととら白面決戦VH,2,87,-32.666666666666664,0.2988505747126437,87
ラッキープラザ関,Lうしおととら白面決戦VH,15,195,-34.9,0.2121212121212121,330
ZENT扶桑,Lうしおととら白面決戦VH,5,66,-40.666666666666664,0.3378378378378378,222
JP888,Lうしおととら白面決戦VH,6,52,-40.95512820512821,0.3012820512820512,156
ZENT刈谷,Lうしおととら白面決戦VH,1,50,-50.58,0.3,50
プレイランドキャッスルワンダー,Lうしおととら白面決戦VH,5,42,-52.02857142857143,0.2761904761904762,210
M&K岡崎,Lうしおととら白面決戦VH,4,171,-52.394004282655246,0.2184154175588865,467
ZENT梅坪,Lうしおととら白面決戦VH,12,56,-55.20054945054945,0.3159340659340659,364
キング観光サウザンド桑名サンシパーク,Lうしおととら白面決戦VH,9,74,-57.2803738317757,0.322429906542056,214
ラッキープラザ名古屋西インター七宝,Lうしおととら白面決戦VH,15,110,-58.41918294849023,0.2735346358792184,563
キャッスル大金,Lうしおととら白面決戦VH,1,90,-60.82222222222222,0.3,90
キング666飛騨高山,Lうしおととら白面決戦VH,2,75,-63.61333333333334,0.2,150
プレイランドキャッスル尾頭橋,Lうしおととら白面決戦VH,7,60,-65.98039215686275,0.3627450980392157,102
KYORAKU東海,Lうしおととら白面決戦VH,2,91,-66.71428571428571,0.3296703296703296,91
メガコンコルド西尾,Lうしおととら白面決戦VH,5,109,-69.53543307086615,0.2283464566929134,127
キング666一宮,Lうしおととら白面決戦VH,4,150,-70.58447488584476,0.2465753424657534,219
プレイランドキャッスル知多,Lうしおととら白面決戦VH,5,60,-75.13333333333334,0.2888888888888888,90
M&K本店,Lうしおととら白面決戦VH,4,119,-75.21428571428571,0.2983193277310924,476
メガコンコルド稲沢,Lうしおととら白面決戦VH,11,29,-75.24553571428571,0.34375,224
玉越中川,Lうしおととら白面決戦VH,6,91,-76.82312925170068,0.3231292517006803,294
プレイランドキャッスル記念橋南,Lうしおととら白面決戦VH,14,84,-82.82916666666667,0.3083333333333333,240
キング観光サウザンド今池2号,Lうしおととら白面決戦VH,12,70,-85.76744186046511,0.2883720930232558,215
プレイランドキャッスル春日井,Lうしおととら白面決戦VH,9,41,-89.7909604519774,0.3107344632768362,177
メガコンコルド春日井,Lうしおととら白面決戦VH,16,54,-97.79666666666668,0.34,300
メガガイア一宮,Lうしおととら白面決戦VH,5,56,-100.01234567901234,0.3950617283950617,81
キング観光尾鷲,Lうしおととら白面決戦VH,3,119,-101.04761904761904,0.2116402116402116,189
ZENT住吉,Lうしおととら白面決戦VH,2,50,-103.31,0.4,100
キクヤ春日井,Lうしおととら白面決戦VH,5,132,-104.518018018018,0.3288288288288288,222
キクヤ穂積,Lうしおととら白面決戦VH,3,35,-107.79047619047618,0.2952380952380952,105
キング観光新瑞,Lうしおととら白面決戦VH,2,57,-107.98245614035088,0.3157894736842105,57
キング観光名張,Lうしおととら白面決戦VH,4,37,-115.10810810810813,0.2702702702702703,74
メガコンコルド大口41号通り,Lうしおととら白面決戦VH,16,54,-116.30421686746988,0.3162650602409638,332
ラッキープラザ弥富,Lうしおととら白面決戦VH,4,188,-117.03463203463204,0.1904761904761904,231
KYORAKU西,Lうしおととら白面決戦VH,3,155,-118.2967741935484,0.1870967741935484,155
メガコンコルド大垣インター南,Lうしおととら白面決戦VH,6,144,-121.85714285714286,0.1785714285714285,252
キング観光いなべ,Lうしおととら白面決戦VH,7,69,-125.08988764044943,0.2696629213483146,178
ABC豊川,Lうしおととら白面決戦VH,14,84,-133.74087591240877,0.2591240875912409,274
キング観光サウザンド鈴鹿,Lうしおととら白面決戦VH,18,57,-133.77215189873417,0.2742616033755274,237
プレイランドキャッスル上社,Lうしおととら白面決戦VH,1,56,-139.80357142857142,0.2321428571428571,56
プレイランドキャッスル大垣,Lうしおととら白面決戦VH,25,69,-152.48463356973994,0.2293144208037825,423
プレイランドキャッスル小牧,Lうしおととら白面決戦VH,11,119,-158.30803571428572,0.3392857142857143,224
ZENT岡崎インター,Lうしおととら白面決戦VH,13,113,-162.3187250996016,0.298804780876494,251
キング観光サウザンド近鉄四日市,Lうしおととら白面決戦VH,4,70,-189.79126213592232,0.2233009708737864,206
M&K道光寺,Lうしおととら白面決戦VH,1,65,-204.2153846153846,0.2769230769230769,65
タイキ四日市泊小柳,Lうしおととら白面決戦VH,7,70,-210.96153846153845,0.2747252747252747,182
コスモジャパン蒲郡,Lうしおととら白面決戦VH,6,55,-218.06470588235297,0.2529411764705882,170
サンシャインKYORAKU平針,Lうしおととら白面決戦VH,6,149,-220.49074074074073,0.2175925925925926,216
メガコンコルドBLAZE,Lうしおととら白面決戦VH,17,39,-232.340206185567,0.3505154639175257,291
プレイランドキャッスル知多にしの台,Lうしおととら白面決戦VH,8,69,-245.02051282051283,0.2461538461538461,195
ZENT各務原,Lうしおととら白面決戦VH,3,107,-256.5875,0.2625,160
メガコンコルド名古屋みなと23号通り,Lうしおととら白面決戦VH,10,52,-260.67293233082705,0.3345864661654135,266
メガコンコルド刈谷知立,Lうしおととら白面決戦VH,20,39,-272.2164179104478,0.3395522388059701,268
プレイランドキャッスル大曽根,Lうしおととら白面決戦VH,8,41,-272.4471544715447,0.3170731707317073,123
KYORAKU妙音通,Lうしおととら白面決戦VH,2,131,-282.2748091603053,0.2900763358778626,131
キング観光サウザンド桑名本店,Lうしおととら白面決戦VH,15,67,-303.5851851851852,0.2111111111111111,270
プレイランドキャッスル天白,Lうしおととら白面決戦VH,4,43,-411.0125,0.29375,160
リブレ遊援館,Lゴジラ,1,56,991.1071428571428,0.5,56
キング観光サウザンド松阪,Lゴジラ,1,62,630.0,0.2096774193548387,62
プレイランドキャッスル知多東海,Lゴジラ,1,16,603.5625,0.375,16
キング観光サウザンド津,Lゴジラ,1,33,510.09090909090907,0.3333333333333333,33
グランワールドカップ本巣,Lゴジラ,4,26,499.15384615384613,0.4615384615384615,104
オーギヤ安城,Lゴジラ,1,200,490.84,0.44,200
キング観光新瑞,Lゴジラ,1,42,282.1190476190476,0.3809523809523809,42
プレイランドキャッスル知多にしの台,Lゴジラ,1,69,270.6231884057971,0.4347826086956521,69
ZENT555,Lゴジラ,10,239,233.81732580037664,0.391713747645951,531
M&K道光寺,Lゴジラ,7,303,219.73071718538569,0.2774018944519621,739
オータ岡崎,Lゴジラ,2,97,217.83505154639175,0.3195876288659793,97
ZENT市ノ坪,Lゴジラ,4,64,171.421875,0.3828125,128
コスモジャパン大府,Lゴジラ,18,182,161.88671023965142,0.3485838779956427,918
プレイランドキャッスル東郷,Lゴジラ,11,79,132.3568075117371,0.3004694835680751,213
コスモジャパン三谷,Lゴジラ,5,150,131.91463414634146,0.2103658536585365,328
KYORAKU妙音通,Lゴジラ,7,174,129.4116331096197,0.2796420581655481,447
メガコンコルドみなと木場インター,Lゴジラ,7,62,121.6847290640394,0.3201970443349753,203
コンコルド一宮尾西インター,Lゴジラ,9,68,120.5391304347826,0.3391304347826087,230
プレイランドキャッスル熱田,Lゴジラ,10,42,113.91904761904762,0.3809523809523809,420
キング観光尾鷲,Lゴジラ,2,119,108.5798319327731,0.2100840336134453,119
ZENT可児,Lゴジラ,3,253,103.25698324022346,0.3435754189944134,358
メガコンコルド大口41号通り,Lゴジラ,10,117,102.92128801431129,0.3774597495527728,559
キング観光いなべ,Lゴジラ,3,218,100.46330275229356,0.3027522935779816,218
キング666東海,Lゴジラ,1,245,92.21224489795918,0.310204081632653,245
コスモジャパン西尾,Lゴジラ,9,117,82.41880341880342,0.2877492877492877,351
ラッキープラザ名古屋西インター七宝,Lゴジラ,18,250,71.67950693374422,0.2912172573189522,1298
キング観光笠寺,Lゴジラ,3,57,59.10526315789474,0.3157894736842105,57
メガスロットコンコルド吉浜,Lゴジラ,2,126,55.23015873015873,0.3095238095238095,126
プレイランドキャッスル天白,Lゴジラ,19,69,53.2655601659751,0.3381742738589212,482
キング観光サウザンド桑名サンシパーク,Lゴジラ,6,109,52.652482269503544,0.3333333333333333,141
オーギヤタウン半田,Lゴジラ,6,277,49.8978102189781,0.364963503649635,685
キング観光サウザンド桑名本店,Lゴジラ,18,175,49.461052631578944,0.32,475
ZENT稲沢,Lゴジラ,8,154,48.108058608058606,0.2747252747252747,546
キクヤ島,Lゴジラ,27,161,42.883136094674555,0.3150887573964497,676
キング観光鈴鹿インター,Lゴジラ,2,137,41.86861313868613,0.2773722627737226,137
メガコンコルド西尾,Lゴジラ,3,126,39.63492063492063,0.1904761904761904,126
メガコンコルド名古屋みなと23号通り,Lゴジラ,12,233,33.12068965517241,0.3771551724137931,928
プレイランドキャッスル大垣,Lゴジラ,23,190,30.40852819807428,0.2696011004126547,727
タイキ豊橋藤沢,Lゴジラ,4,83,27.389473684210525,0.1157894736842105,95
プレイランドキャッスル春日井,Lゴジラ,14,68,27.140672782874617,0.2844036697247706,327
メガコンコルド刈谷知立,Lゴジラ,24,110,18.771875,0.359375,640
ZENT梅坪,Lゴジラ,25,133,14.808090310442145,0.3010348071495766,1063
プレイランドキャッスル大曽根,Lゴジラ,21,69,7.362264150943396,0.3320754716981132,265
MGM四日市,Lゴジラ,4,139,5.032154340836013,0.2218649517684887,311
ZENT木曽川,Lゴジラ,6,244,1.6515837104072395,0.2473604826546003,663
メガコンコルド豊川インター,Lゴジラ,13,50,-5.359183673469388,0.3918367346938775,245
G&L一宮,Lゴジラ,6,168,-8.114982578397212,0.229965156794425,287
KYORAKU西,Lゴジラ,3,210,-10.461904761904762,0.1857142857142857,210
M&K岡崎,Lゴジラ,1,317,-16.006309148264986,0.2712933753943217,317
ZENT各務原,Lゴジラ,8,177,-26.959381044487422,0.2321083172147001,517
コンコルド愛西日比野駅前,Lゴジラ,4,116,-33.66009852216749,0.3694581280788177,203
キクヤ春日井,Lゴジラ,2,118,-33.866028708133975,0.3349282296650718,209
プレイランド第一平和,Lゴジラ,3,91,-40.27106227106227,0.1355311355311355,273
プレイランドキャッスル小牧,Lゴジラ,1,61,-45.50819672131148,0.2786885245901639,61
キング観光サウザンド近鉄四日市,Lゴジラ,5,136,-47.68382352941177,0.3823529411764705,136
キング観光熊野,Lゴジラ,3,119,-62.95798319327731,0.2436974789915966,119
キング観光サウザンド栄若宮大通,Lゴジラ,15,55,-69.95250659630607,0.2981530343007915,379
キング観光サウザンド生桑,Lゴジラ,16,252,-73.48333333333333,0.3104166666666667,480
メガコンコルド大垣インター南,Lゴジラ,5,113,-74.67021276595744,0.1950354609929078,282
メガコンコルドBLAZE,Lゴジラ,15,39,-74.72307692307692,0.441025641025641,195
