店舗,新台入替回数,総導入台数,平均差枚数,平均回転数,勝率
エアポート777土岐,18.0,95.0,-177.96842105263158,1023.4105263157895,0.23157894736842105
オーギヤ二川,9.0,120.0,-178.14166666666668,3055.983333333333,0.35
KEIZ岐阜六条,11.0,104.0,-181.97115384615384,2722.355769230769,0.23076923076923078
ゴー港,29.0,82.0,-185.32926829268294,1969.158536585366,0.2073170731707317
プレイランドキャッスル知多,35.0,160.0,-189.31875,2960.13125,0.3625
yout勝川,21.0,97.0,-189.55670103092783,1184.8247422680413,0.25773195876288657
キング観光尾鷲,41.0,190.0,-189.7842105263158,2838.1105263157897,0.37894736842105264
メガガイア一宮,32.0,454.0,-193.92511013215858,3152.136563876652,0.3788546255506608
コンコルド一宮尾西インター,33.0,349.0,-195.1375358166189,2588.9885386819483,0.37249283667621774
メガコンコルド大口41号通り,26.0,641.0,-198.66458658346335,3257.0483619344773,0.36817472698907955
ラッキープラザ津島,29.0,116.0,-202.57758620689654,2197.7327586206898,0.35344827586206895
コンコルド岐阜羽島駅前,36.0,270.0,-203.13703703703703,6178.866666666667,0.37777777777777777
ZENT大清水,13.0,98.0,-203.89795918367346,1428.3163265306123,0.29591836734693877
SR21中川,20.0,78.0,-206.74358974358975,556.4487179487179,0.23076923076923078
プレイランド第一平和,27.0,129.0,-214.34883720930233,1967.8682170542636,0.3178294573643411
グランドオータ鳴海,34.0,430.0,-215.52558139534884,2729.6116279069765,0.36046511627906974
プレイランドキャッスル春日井,30.0,807.0,-217.58612143742255,7197.1957868649315,0.40272614622057
Zing大樹寺,9.0,184.0,-224.2391304347826,3448.7228260869565,0.33695652173913043
キング666一宮,25.0,196.0,-229.4795918367347,2519.0714285714284,0.336734693877551
メガスロットコンコルド吉浜,37.0,299.0,-230.20066889632108,6008.90635451505,0.39464882943143814
キング666半田,12.0,115.0,-233.30434782608697,6206.130434782609,0.391304347826087
ZENT岡崎インター,23.0,559.0,-236.99284436493738,7049.0125223613595,0.3685152057245081
メガコンコルドBLAZE,24.0,674.0,-248.6973293768546,7370.40356083086,0.40801186943620177
yout碧南,11.0,97.0,-249.340206185567,2091.701030927835,0.27835051546391754
ラッキープラザ名古屋西インター七宝,29.0,470.0,-250.6595744680851,3512.276595744681,0.3872340425531915
パチンコ立岩,24.0,117.0,-250.94871794871796,5770.076923076923,0.4017094017094017
キング観光サウザンド松阪,42.0,130.0,-252.13846153846154,2603.0923076923077,0.33076923076923076
キング観光熊野,47.0,165.0,-260.2181818181818,2269.987878787879,0.3393939393939394
ラッキー1番江南,27.0,159.0,-262.82389937106916,2902.8993710691825,0.36477987421383645
ラッキープラザ弥富,30.0,158.0,-265.8354430379747,2812.3291139240505,0.35443037974683544
丸新東刈谷,10.0,82.0,-266.8292682926829,1573.7317073170732,0.25609756097560976
キング観光名張,55.0,198.0,-271.479797979798,1735.8131313131314,0.35858585858585856
KOHAKU堀田,16.0,79.0,-271.67088607594934,1404.2278481012659,0.20253164556962025
タイキ稲沢駅前,14.0,199.0,-279.5929648241206,1406.894472361809,0.2663316582914573
メガコンコルド刈谷知立,28.0,636.0,-283.17610062893084,7451.059748427673,0.4166666666666667
キング観光サウザンド近鉄四日市,35.0,341.0,-292.1642228739003,4333.093841642229,0.3812316715542522
M&K本店,20.0,264.0,-294.5,3266.8560606060605,0.3484848484848485
ZENT梅坪,28.0,512.0,-298.796875,7573.595703125,0.392578125
メガコンコルド岡崎北,26.0,373.0,-301.7426273458445,6591.235924932976,0.3806970509383378
コンコルド愛西日比野駅前,24.0,267.0,-304.73408239700376,3446.0898876404494,0.38202247191011235
キング観光サウザンド桑名本店,35.0,528.0,-309.56060606060606,4410.416666666667,0.3693181818181818
メガコンコルド名古屋みなと23号通り,26.0,559.0,-310.28980322003576,7751.611806797853,0.39892665474060823
キング観光サウザンド桑名サンシパーク,34.0,386.0,-314.0025906735751,4176.751295336788,0.3471502590673575
KEIZギャラリエアピタ知立,9.0,111.0,-352.13513513513516,4742.405405405405,0.40540540540540543
リブレ尾張瀬戸,8.0,118.0,-352.29661016949154,2531.271186440678,0.3050847457627119
キング観光サウザンド鈴鹿,34.0,681.0,-367.83700440528634,4981.85315712188,0.3744493392070485
メガコンコルドみなと木場インター,32.0,392.0,-370.85714285714283,5826.885204081633,0.31887755102040816
プレイランドキャッスル大垣,27.0,789.0,-372.5944233206591,5807.949302915083,0.36248415716096327
ZENT豊橋藤沢店,20.0,306.0,-412.6764705882353,7358.300653594772,0.4084967320261438
メガコンコルド豊田インター,35.0,562.0,-434.38790035587186,6813.896797153025,0.4110320284697509
ラッキープラザ関,31.0,281.0,-467.5836298932384,3993.5836298932386,0.33807829181494664
MGM四日市,23.0,235.0,-480.68936170212766,4933.710638297873,0.32340425531914896
メガコンコルド豊川インター,27.0,653.0,-511.94640122511487,8048.941807044411,0.38591117917304746
メガコンコルド大垣インター南,35.0,312.0,-516.8910256410256,5622.141025641025,0.3269230769230769
ABC豊川,30.0,430.0,-562.606976744186,6323.811627906976,0.3674418604651163
プレイランドキャッスル東郷,13.0,215.0,-600.7209302325581,2581.5441860465116,0.3209302325581395
キング観光サウザンド津,18.0,415.0,-607.0144578313253,5945.922891566265,0.3566265060240964
