店舗,機種名,End_Digit,稼働日数,集計数,平均差枚数,平均回転数,勝率
キング観光サウザンド津,吉宗,4.0,24,210,94.74285714285715,2631.1,0.3619047619047619
キング観光サウザンド津,吉宗,5.0,24,207,14.85024154589372,2723.845410628019,0.36231884057971014
キング観光サウザンド津,吉宗,6.0,24,207,-384.75845410628017,2466.057971014493,0.2898550724637681
キング観光サウザンド津,吉宗,7.0,24,207,-38.5024154589372,3393.1159420289855,0.3526570048309179
キング観光サウザンド津,吉宗,8.0,24,207,-169.78743961352657,2231.512077294686,0.30917874396135264
キング観光サウザンド津,吉宗,9.0,22,192,255.328125,2459.2604166666665,0.3802083333333333
キング観光サウザンド津,回胴式遊技機 グランベルム,0.0,8,8,-1024.125,1523.875,0.0
キング観光サウザンド津,回胴式遊技機 グランベルム,1.0,9,9,-752.4444444444445,1969.5555555555557,0.1111111111111111
キング観光サウザンド津,回胴式遊技機 グランベルム,2.0,8,8,947.875,1925.125,0.375
キング観光サウザンド津,回胴式遊技機 グランベルム,3.0,8,8,-196.625,2104.5,0.25
キング観光サウザンド津,回胴式遊技機 グランベルム,4.0,8,8,-69.75,2236.25,0.375
キング観光サウザンド津,回胴式遊技機 グランベルム,5.0,8,8,554.75,1948.75,0.5
キング観光サウザンド津,回胴式遊技機 グランベルム,6.0,9,9,-834.8888888888889,2313.8888888888887,0.1111111111111111
キング観光サウザンド津,回胴式遊技機 グランベルム,7.0,9,9,84.22222222222223,3693.3333333333335,0.4444444444444444
キング観光サウザンド津,回胴式遊技機 グランベルム,8.0,9,9,-638.4444444444445,2644.3333333333335,0.3333333333333333
キング観光サウザンド津,回胴式遊技機 グランベルム,9.0,8,8,-125.875,2402.625,0.375
キング観光サウザンド津,回胴黙示録カイジ 狂宴,0.0,13,15,-602.7333333333333,2846.9333333333334,0.3333333333333333
キング観光サウザンド津,回胴黙示録カイジ 狂宴,1.0,18,21,-682.0,2750.4285714285716,0.19047619047619047
キング観光サウザンド津,回胴黙示録カイジ 狂宴,2.0,14,17,-202.05882352941177,2873.5882352941176,0.4117647058823529
キング観光サウザンド津,回胴黙示録カイジ 狂宴,3.0,14,17,557.6470588235294,2288.176470588235,0.5294117647058824
キング観光サウザンド津,回胴黙示録カイジ 狂宴,4.0,13,15,-121.06666666666666,2727.733333333333,0.3333333333333333
キング観光サウザンド津,回胴黙示録カイジ 狂宴,5.0,13,15,-94.26666666666667,2669.4666666666667,0.3333333333333333
キング観光サウザンド津,回胴黙示録カイジ 狂宴,6.0,14,18,-206.66666666666666,2490.5555555555557,0.3333333333333333
キング観光サウザンド津,回胴黙示録カイジ 狂宴,7.0,14,17,29.0,3193.0588235294117,0.35294117647058826
キング観光サウザンド津,回胴黙示録カイジ 狂宴,8.0,14,17,172.64705882352942,2123.8823529411766,0.5294117647058824
キング観光サウザンド津,回胴黙示録カイジ 狂宴,9.0,13,15,223.8,2158.6666666666665,0.4
キング観光サウザンド津,忍魂参 〜奥義皆伝ノ章〜,0.0,3,3,455.0,4445.666666666667,0.6666666666666666
キング観光サウザンド津,忍魂参 〜奥義皆伝ノ章〜,4.0,3,4,-814.5,2982.5,0.25
キング観光サウザンド津,忍魂参 〜奥義皆伝ノ章〜,5.0,3,4,-1712.5,6044.5,0.0
キング観光サウザンド津,忍魂参 〜奥義皆伝ノ章〜,6.0,2,3,-2095.3333333333335,4681.0,0.3333333333333333
キング観光サウザンド津,忍魂参 〜奥義皆伝ノ章〜,7.0,2,3,-3250.6666666666665,5869.333333333333,0.0
キング観光サウザンド津,忍魂参 〜奥義皆伝ノ章〜,8.0,2,3,-1272.3333333333333,4517.0,0.0
キング観光サウザンド津,忍魂参 〜奥義皆伝ノ章〜,9.0,3,4,-1145.25,5666.5,0.25
キング観光サウザンド津,戦国コレクション5超極楽LOOP,0.0,11,11,-358.45454545454544,1599.0,0.18181818181818182
キング観光サウザンド津,戦国コレクション5超極楽LOOP,1.0,15,15,-77.2,1262.8666666666666,0.13333333333333333
キング観光サウザンド津,戦国コレクション5超極楽LOOP,2.0,12,12,-225.75,934.0,0.16666666666666666
キング観光サウザンド津,戦国コレクション5超極楽LOOP,3.0,12,12,-708.6666666666666,1252.5833333333333,0.16666666666666666
キング観光サウザンド津,戦国コレクション5超極楽LOOP,4.0,12,12,126.33333333333333,1987.1666666666667,0.25
キング観光サウザンド津,戦国コレクション5超極楽LOOP,5.0,12,12,310.9166666666667,2754.25,0.4166666666666667
キング観光サウザンド津,戦国コレクション5超極楽LOOP,6.0,12,12,-801.25,2472.5833333333335,0.08333333333333333
キング観光サウザンド津,戦国コレクション5超極楽LOOP,7.0,11,11,1272.0,2303.818181818182,0.36363636363636365
キング観光サウザンド津,戦国コレクション5超極楽LOOP,8.0,11,11,-218.8181818181818,1611.8181818181818,0.18181818181818182
キング観光サウザンド津,戦国コレクション5超極楽LOOP,9.0,11,11,-185.72727272727272,528.5454545454545,0.18181818181818182
キング観光サウザンド津,押忍!番長ZERO,0.0,9,9,-607.5555555555555,2021.888888888889,0.3333333333333333
キング観光サウザンド津,押忍!番長ZERO,1.0,11,11,-163.63636363636363,1872.909090909091,0.36363636363636365
キング観光サウザンド津,押忍!番長ZERO,2.0,11,11,-253.8181818181818,1932.5454545454545,0.2727272727272727
キング観光サウザンド津,押忍!番長ZERO,3.0,11,11,-126.36363636363636,1598.909090909091,0.45454545454545453
キング観光サウザンド津,押忍!番長ZERO,4.0,11,11,-173.45454545454547,1265.8181818181818,0.45454545454545453
キング観光サウザンド津,押忍!番長ZERO,5.0,11,11,-344.1818181818182,1675.4545454545455,0.2727272727272727
キング観光サウザンド津,押忍!番長ZERO,6.0,10,10,-238.5,1227.1,0.1
キング観光サウザンド津,押忍!番長ZERO,7.0,10,10,-477.3,2240.7,0.2
キング観光サウザンド津,押忍!番長ZERO,8.0,10,10,978.6,1849.5,0.9
キング観光サウザンド津,押忍!番長ZERO,9.0,9,9,54.333333333333336,1913.3333333333333,0.3333333333333333
キング観光サウザンド津,新ハナビ,0.0,22,44,124.61363636363636,5576.045454545455,0.4318181818181818
キング観光サウザンド津,新ハナビ,1.0,27,54,179.3148148148148,5684.481481481482,0.5185185185185185
キング観光サウザンド津,新ハナビ,2.0,23,46,83.71739130434783,5128.717391304348,0.41304347826086957
キング観光サウザンド津,新ハナビ,3.0,23,46,333.95652173913044,5479.413043478261,0.5869565217391305
