店舗,機種名,Weekday,稼働日数,集計数,平均差枚数,平均回転数,勝率
A-FLAG津,Lパチスロ 機動戦士ガンダムSEED,水曜日,33,112,96.51785714285714,545.4553571428571,0.125
A-FLAG津,Lパチスロ 機動戦士ガンダムSEED,火曜日,33,108,-29.537037037037038,399.287037037037,0.12037037037037036
A-FLAG津,Lパチスロ 機動戦士ガンダムSEED,金曜日,34,112,-107.33928571428571,704.0892857142857,0.20535714285714285
A-FLAG津,Lパチスロ 炎炎ノ消防隊,土曜日,65,235,-173.2936170212766,1179.404255319149,0.3021276595744681
A-FLAG津,Lパチスロ 炎炎ノ消防隊,日曜日,64,234,-135.78205128205127,1321.042735042735,0.28205128205128205
A-FLAG津,Lパチスロ 炎炎ノ消防隊,月曜日,65,237,-76.0210970464135,774.1814345991561,0.23628691983122363
A-FLAG津,Lパチスロ 炎炎ノ消防隊,木曜日,64,230,-75.15652173913044,613.4478260869565,0.21739130434782608
A-FLAG津,Lパチスロ 炎炎ノ消防隊,水曜日,63,227,-38.78854625550661,571.6828193832599,0.2026431718061674
A-FLAG津,Lパチスロ 炎炎ノ消防隊,火曜日,64,232,-97.45258620689656,655.1594827586207,0.1896551724137931
A-FLAG津,Lパチスロ 炎炎ノ消防隊,金曜日,64,232,-31.189655172413794,788.9094827586207,0.2672413793103448
A-FLAG津,Lパチスロ 炎炎ノ消防隊2,土曜日,7,21,-547.7142857142857,5209.0952380952385,0.3333333333333333
A-FLAG津,Lパチスロ 炎炎ノ消防隊2,日曜日,6,18,-375.44444444444446,5348.666666666667,0.4444444444444444
A-FLAG津,Lパチスロ 炎炎ノ消防隊2,月曜日,7,21,-1603.0,4093.3809523809523,0.09523809523809523
A-FLAG津,Lパチスロ 炎炎ノ消防隊2,木曜日,7,21,-793.8571428571429,2971.095238095238,0.19047619047619047
A-FLAG津,Lパチスロ 炎炎ノ消防隊2,水曜日,7,21,-972.1428571428571,4684.428571428572,0.3333333333333333
A-FLAG津,Lパチスロ 炎炎ノ消防隊2,火曜日,7,21,542.4285714285714,3069.3809523809523,0.42857142857142855
A-FLAG津,Lパチスロ 炎炎ノ消防隊2,金曜日,6,18,-586.1111111111111,4468.444444444444,0.3333333333333333
A-FLAG津,Lパチスロ 革命機ヴァルヴレイヴ2,土曜日,20,96,-470.84375,2014.8229166666667,0.25
A-FLAG津,Lパチスロ 革命機ヴァルヴレイヴ2,日曜日,19,91,-600.2857142857143,2210.4065934065934,0.25274725274725274
A-FLAG津,Lパチスロ 革命機ヴァルヴレイヴ2,月曜日,19,93,-336.51612903225805,1479.1075268817203,0.20430107526881722
A-FLAG津,Lパチスロ 革命機ヴァルヴレイヴ2,木曜日,19,93,-246.1290322580645,1175.258064516129,0.20430107526881722
A-FLAG津,Lパチスロ 革命機ヴァルヴレイヴ2,水曜日,19,93,-300.64516129032256,1344.8709677419354,0.22580645161290322
A-FLAG津,Lパチスロ 革命機ヴァルヴレイヴ2,火曜日,20,96,-174.80208333333334,1098.4895833333333,0.1875
A-FLAG津,Lパチスロ 革命機ヴァルヴレイヴ2,金曜日,19,91,123.87912087912088,1328.8351648351647,0.31868131868131866
A-FLAG津,Lパチスロ戦姫絶唱シンフォギア 正義の歌,土曜日,63,111,187.93693693693695,798.2162162162163,0.22522522522522523
A-FLAG津,Lパチスロ戦姫絶唱シンフォギア 正義の歌,日曜日,63,111,-53.91891891891892,721.3423423423424,0.17117117117117117
A-FLAG津,Lパチスロ戦姫絶唱シンフォギア 正義の歌,月曜日,64,113,-116.77876106194691,459.929203539823,0.07964601769911504
A-FLAG津,Lパチスロ戦姫絶唱シンフォギア 正義の歌,木曜日,62,110,-124.78181818181818,323.2,0.02727272727272727
A-FLAG津,Lパチスロ戦姫絶唱シンフォギア 正義の歌,水曜日,62,109,-165.12844036697248,394.2201834862385,0.09174311926605505
A-FLAG津,Lパチスロ戦姫絶唱シンフォギア 正義の歌,火曜日,63,110,47.99090909090909,459.5181818181818,0.14545454545454545
A-FLAG津,Lパチスロ戦姫絶唱シンフォギア 正義の歌,金曜日,63,111,28.216216216216218,416.54954954954957,0.07207207207207207
A-FLAG津,Lラブ嬢3〜Wご指名はいかがですか?〜,土曜日,65,74,-312.7027027027027,1494.7702702702702,0.22972972972972974
A-FLAG津,Lラブ嬢3〜Wご指名はいかがですか?〜,日曜日,64,74,-114.70270270270271,1192.3918918918919,0.2972972972972973
A-FLAG津,Lラブ嬢3〜Wご指名はいかがですか?〜,月曜日,65,74,-86.94594594594595,588.7027027027027,0.22972972972972974
A-FLAG津,Lラブ嬢3〜Wご指名はいかがですか?〜,木曜日,64,73,9.63013698630137,763.6849315068494,0.2602739726027397
A-FLAG津,Lラブ嬢3〜Wご指名はいかがですか?〜,水曜日,63,71,-136.01408450704224,1081.5211267605634,0.30985915492957744
A-FLAG津,Lラブ嬢3〜Wご指名はいかがですか?〜,火曜日,64,73,-92.52054794520548,677.2054794520548,0.2191780821917808
A-FLAG津,Lラブ嬢3〜Wご指名はいかがですか?〜,金曜日,64,73,-41.013698630136986,827.1232876712329,0.2191780821917808
A-FLAG津,Lルパン三世 大航海者の秘宝,土曜日,65,239,-123.07949790794979,952.581589958159,0.200836820083682
A-FLAG津,Lルパン三世 大航海者の秘宝,日曜日,64,237,-170.1054852320675,1032.0379746835442,0.21518987341772153
A-FLAG津,Lルパン三世 大航海者の秘宝,月曜日,65,240,-97.96666666666667,692.625,0.19166666666666668
A-FLAG津,Lルパン三世 大航海者の秘宝,木曜日,64,235,34.182978723404254,688.5446808510638,0.2
A-FLAG津,Lルパン三世 大航海者の秘宝,水曜日,63,232,19.530172413793103,584.051724137931,0.16379310344827586
A-FLAG津,Lルパン三世 大航海者の秘宝,火曜日,64,236,-185.22457627118644,798.6271186440678,0.16101694915254236
